,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track
0,0.167,0.443,1,-8.262,0,0.031,0.352,0.865,0.36,0.0388,66.164,audio_features,2xkX7kxpDCtASJVlhDujWZ,spotify:track:2xkX7kxpDCtASJVlhDujWZ,https://api.spotify.com/v1/tracks/2xkX7kxpDCtASJVlhDujWZ,https://api.spotify.com/v1/audio-analysis/2xkX7kxpDCtASJVlhDujWZ,75573,4,Swallow The Knife (Live) (Segue)
1,0.428,0.878,1,-3.661,1,0.049,6.73e-05,0.0,0.0693,0.386,149.027,audio_features,05qCCJQJiOwvPQBb7akf1R,spotify:track:05qCCJQJiOwvPQBb7akf1R,https://api.spotify.com/v1/tracks/05qCCJQJiOwvPQBb7akf1R,https://api.spotify.com/v1/audio-analysis/05qCCJQJiOwvPQBb7akf1R,216000,4,Mayday
2,0.0786,0.0726,10,-21.645,1,0.0508,0.0648,0.681,0.0888,0.0207,176.989,audio_features,23PJjMMzYVRcR3hOXoKeE9,spotify:track:23PJjMMzYVRcR3hOXoKeE9,https://api.spotify.com/v1/tracks/23PJjMMzYVRcR3hOXoKeE9,https://api.spotify.com/v1/audio-analysis/23PJjMMzYVRcR3hOXoKeE9,153030,4,Lake Of Dreams
3,0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039,audio_features,3f3omU8n47Mqyab5nCaGyT,spotify:track:3f3omU8n47Mqyab5nCaGyT,https://api.spotify.com/v1/tracks/3f3omU8n47Mqyab5nCaGyT,https://api.spotify.com/v1/audio-analysis/3f3omU8n47Mqyab5nCaGyT,219493,4,Because Of You
4,0.549,0.455,1,-9.134,1,0.0349,0.447,0.000704,0.0817,0.621,140.152,audio_features,0aldkB7GXVA9EnVqJKVKz3,spotify:track:0aldkB7GXVA9EnVqJKVKz3,https://api.spotify.com/v1/tracks/0aldkB7GXVA9EnVqJKVKz3,https://api.spotify.com/v1/audio-analysis/0aldkB7GXVA9EnVqJKVKz3,205307,4,Un Peu D'Amour Et D'Amitié
5,0.326,0.898,2,-5.658,1,0.0752,0.717,0.877,0.227,0.356,109.044,audio_features,5v779QwHjBQl14y3EjFulU,spotify:track:5v779QwHjBQl14y3EjFulU,https://api.spotify.com/v1/tracks/5v779QwHjBQl14y3EjFulU,https://api.spotify.com/v1/audio-analysis/5v779QwHjBQl14y3EjFulU,785320,4,Rattlesnake!
6,0.309,0.759,2,-6.682,1,0.0297,0.0857,0.000123,0.167,0.287,91.472,audio_features,3ISC0OWlikS5VyvQNIttlK,spotify:track:3ISC0OWlikS5VyvQNIttlK,https://api.spotify.com/v1/tracks/3ISC0OWlikS5VyvQNIttlK,https://api.spotify.com/v1/audio-analysis/3ISC0OWlikS5VyvQNIttlK,262238,4,Disappeared
7,0.176,0.233,5,-18.967,0,0.0586,0.717,0.914,0.0914,0.0793,132.614,audio_features,4QJYjzP8e6l3MGC4aRLydl,spotify:track:4QJYjzP8e6l3MGC4aRLydl,https://api.spotify.com/v1/tracks/4QJYjzP8e6l3MGC4aRLydl,https://api.spotify.com/v1/audio-analysis/4QJYjzP8e6l3MGC4aRLydl,658013,4,Doppelgänger [Qliphothic Phantasmagoria]
8,0.754,0.782,10,-9.911,0,0.0413,0.000163,0.59,0.0838,0.762,127.884,audio_features,2m6X1cYQIfYvkWxNAbfSXS,spotify:track:2m6X1cYQIfYvkWxNAbfSXS,https://api.spotify.com/v1/tracks/2m6X1cYQIfYvkWxNAbfSXS,https://api.spotify.com/v1/audio-analysis/2m6X1cYQIfYvkWxNAbfSXS,476627,4,Ain't No Love Ain't No Use (Love To Infinity Full Funk Mix)
9,0.372,0.865,2,-4.918,1,0.0381,0.000453,0.0,0.234,0.478,174.53,audio_features,5wj4E6IsrVtn8IBJQOd0Cl,spotify:track:5wj4E6IsrVtn8IBJQOd0Cl,https://api.spotify.com/v1/tracks/5wj4E6IsrVtn8IBJQOd0Cl,https://api.spotify.com/v1/audio-analysis/5wj4E6IsrVtn8IBJQOd0Cl,258733,4,Morning Glory
10,0.652,0.275,0,-12.767,1,0.0475,0.632,0.0,0.287,0.774,153.251,audio_features,4hXAK3mjFVFOOiJQ3rKAXi,spotify:track:4hXAK3mjFVFOOiJQ3rKAXi,https://api.spotify.com/v1/tracks/4hXAK3mjFVFOOiJQ3rKAXi,https://api.spotify.com/v1/audio-analysis/4hXAK3mjFVFOOiJQ3rKAXi,130027,4,Rudolph The Red-Nosed Reindeer
11,0.571,0.456,7,-7.596,1,0.027,0.403,1.32e-05,0.135,0.217,97.027,audio_features,6UiVmlZ4ujBde9nCrPYZiM,spotify:track:6UiVmlZ4ujBde9nCrPYZiM,https://api.spotify.com/v1/tracks/6UiVmlZ4ujBde9nCrPYZiM,https://api.spotify.com/v1/audio-analysis/6UiVmlZ4ujBde9nCrPYZiM,226046,4,Tomorrow Gone
12,0.611,0.458,5,-8.333,1,0.0274,0.649,5.51e-05,0.239,0.406,106.585,audio_features,075PFAD5z9uk4fSwsWxqwY,spotify:track:075PFAD5z9uk4fSwsWxqwY,https://api.spotify.com/v1/tracks/075PFAD5z9uk4fSwsWxqwY,https://api.spotify.com/v1/audio-analysis/075PFAD5z9uk4fSwsWxqwY,207533,4,I don't Want to Be Alone Tonight
13,0.503,0.492,0,-12.724,1,0.0857,0.79,0.0,0.187,0.767,125.972,audio_features,20DKoFPtspjSQF8Fbgpa0L,spotify:track:20DKoFPtspjSQF8Fbgpa0L,https://api.spotify.com/v1/tracks/20DKoFPtspjSQF8Fbgpa0L,https://api.spotify.com/v1/audio-analysis/20DKoFPtspjSQF8Fbgpa0L,209813,4,Just A Little Lovin' (Will Go A Long Way)
14,0.377,0.651,4,-5.437,0,0.0588,0.0197,5.31e-05,0.174,0.0851,129.698,audio_features,3UYiU57SMiAS5LqolhHJw1,spotify:track:3UYiU57SMiAS5LqolhHJw1,https://api.spotify.com/v1/tracks/3UYiU57SMiAS5LqolhHJw1,https://api.spotify.com/v1/audio-analysis/3UYiU57SMiAS5LqolhHJw1,219742,4,Shameless
15,0.415,0.22,8,-17.47,1,0.0261,0.878,0.651,0.125,0.268,90.267,audio_features,1naVD19eofGpFf6wosmHIe,spotify:track:1naVD19eofGpFf6wosmHIe,https://api.spotify.com/v1/tracks/1naVD19eofGpFf6wosmHIe,https://api.spotify.com/v1/audio-analysis/1naVD19eofGpFf6wosmHIe,197627,4,And I Love You So
16,0.424,0.0977,11,-13.594,1,0.0512,0.939,0.0,0.109,0.236,132.08,audio_features,4LELufZmfxlbaw6SUzt3d6,spotify:track:4LELufZmfxlbaw6SUzt3d6,https://api.spotify.com/v1/tracks/4LELufZmfxlbaw6SUzt3d6,https://api.spotify.com/v1/audio-analysis/4LELufZmfxlbaw6SUzt3d6,217360,5,Quiet Time
17,0.359,0.956,1,-2.942,1,0.062,0.0118,0.000822,0.511,0.924,161.132,audio_features,0BqQWfhMrkpRAUCbdfdHUC,spotify:track:0BqQWfhMrkpRAUCbdfdHUC,https://api.spotify.com/v1/tracks/0BqQWfhMrkpRAUCbdfdHUC,https://api.spotify.com/v1/audio-analysis/0BqQWfhMrkpRAUCbdfdHUC,174027,4,Little Sister
18,0.57,0.499,8,-6.512,1,0.0266,0.314,0.0,0.11,0.0866,147.875,audio_features,6z1frj1JhCZhgKzUZUNU31,spotify:track:6z1frj1JhCZhgKzUZUNU31,https://api.spotify.com/v1/tracks/6z1frj1JhCZhgKzUZUNU31,https://api.spotify.com/v1/audio-analysis/6z1frj1JhCZhgKzUZUNU31,220347,4,All Over Me
19,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,audio_features,7vRriwrloYVaoAe3a9wJHe,spotify:track:7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,251034,4,I Hate You
20,0.685,0.399,0,-13.417,1,0.0595,0.257,0.909,0.0885,0.639,180.011,audio_features,6grjbv2dQ90nPWldCYCaw8,spotify:track:6grjbv2dQ90nPWldCYCaw8,https://api.spotify.com/v1/tracks/6grjbv2dQ90nPWldCYCaw8,https://api.spotify.com/v1/audio-analysis/6grjbv2dQ90nPWldCYCaw8,205333,4,Misanthrope
21,0.303,0.243,6,-17.821,1,0.0447,0.812,0.0,0.294,0.238,116.863,audio_features,24pzhAv9SZekxm0l88moRh,spotify:track:24pzhAv9SZekxm0l88moRh,https://api.spotify.com/v1/tracks/24pzhAv9SZekxm0l88moRh,https://api.spotify.com/v1/audio-analysis/24pzhAv9SZekxm0l88moRh,188333,4,The Date (Remix By Ana Rago)
22,0.678,0.353,9,-15.636,1,0.0716,0.814,0.0,0.0904,0.777,84.545,audio_features,2hg8QxxDob0JR3ahlUP8bp,spotify:track:2hg8QxxDob0JR3ahlUP8bp,https://api.spotify.com/v1/tracks/2hg8QxxDob0JR3ahlUP8bp,https://api.spotify.com/v1/audio-analysis/2hg8QxxDob0JR3ahlUP8bp,65347,1,We Wish You A Merry Christmas
23,0.712,0.676,9,-7.313,0,0.153,0.191,0.0665,0.125,0.869,79.994,audio_features,0tSE3FNeqYVuTQIy1s67Az,spotify:track:0tSE3FNeqYVuTQIy1s67Az,https://api.spotify.com/v1/tracks/0tSE3FNeqYVuTQIy1s67Az,https://api.spotify.com/v1/audio-analysis/0tSE3FNeqYVuTQIy1s67Az,291440,4,Böse
24,0.561,0.335,9,-11.093,0,0.0499,0.84,1.52e-06,0.788,0.59,126.974,audio_features,7GLmfKOe5BfOXk7334DoKt,spotify:track:7GLmfKOe5BfOXk7334DoKt,https://api.spotify.com/v1/tracks/7GLmfKOe5BfOXk7334DoKt,https://api.spotify.com/v1/audio-analysis/7GLmfKOe5BfOXk7334DoKt,163000,4,Saturday Night Is The Loneliest Night In The Week
25,0.714,0.917,6,-3.606,0,0.113,0.204,0.0,0.39,0.824,161.975,audio_features,6ET2wJuNUZMhZNwdcI2eLC,spotify:track:6ET2wJuNUZMhZNwdcI2eLC,https://api.spotify.com/v1/tracks/6ET2wJuNUZMhZNwdcI2eLC,https://api.spotify.com/v1/audio-analysis/6ET2wJuNUZMhZNwdcI2eLC,189516,4,A Mi No Me Importa
26,0.571,0.939,11,-7.02,0,0.0637,0.625,0.000773,0.162,0.887,75.258,audio_features,4UFHihOI0xnuk7yG9ZnvAH,spotify:track:4UFHihOI0xnuk7yG9ZnvAH,https://api.spotify.com/v1/tracks/4UFHihOI0xnuk7yG9ZnvAH,https://api.spotify.com/v1/audio-analysis/4UFHihOI0xnuk7yG9ZnvAH,258587,4,Ven Morena
27,0.716,0.694,7,-7.049,1,0.0328,0.529,0.743,0.0584,0.8,81.971,audio_features,3WOSIUTMnlpCJm9V3HYVun,spotify:track:3WOSIUTMnlpCJm9V3HYVun,https://api.spotify.com/v1/tracks/3WOSIUTMnlpCJm9V3HYVun,https://api.spotify.com/v1/audio-analysis/3WOSIUTMnlpCJm9V3HYVun,269400,4,Brighton by the Sea
28,0.569,0.109,6,-22.354,1,0.0685,0.945,0.961,0.164,0.0387,133.168,audio_features,76IFL12E66kaZOTUsbCEGD,spotify:track:76IFL12E66kaZOTUsbCEGD,https://api.spotify.com/v1/tracks/76IFL12E66kaZOTUsbCEGD,https://api.spotify.com/v1/audio-analysis/76IFL12E66kaZOTUsbCEGD,34806,5,CHAOS INTRO
29,0.351,0.942,10,-4.653,1,0.111,0.00217,8.06e-05,0.971,0.21,92.04,audio_features,0eeERwVPOzcfuZuvjNIbkY,spotify:track:0eeERwVPOzcfuZuvjNIbkY,https://api.spotify.com/v1/tracks/0eeERwVPOzcfuZuvjNIbkY,https://api.spotify.com/v1/audio-analysis/0eeERwVPOzcfuZuvjNIbkY,194678,4,Bloody Pig Pile (Live)
30,0.3,0.851,1,-4.113,0,0.0719,3.84e-05,1.43e-05,0.306,0.309,92.2,audio_features,6lbcieT35bY6G1drEehHum,spotify:track:6lbcieT35bY6G1drEehHum,https://api.spotify.com/v1/tracks/6lbcieT35bY6G1drEehHum,https://api.spotify.com/v1/audio-analysis/6lbcieT35bY6G1drEehHum,281467,3,Hex Breaker
31,0.436,0.39,7,-11.622,1,0.0393,0.813,0.823,0.101,0.462,114.745,audio_features,5Sh7509By9UUx8r2hIyBxe,spotify:track:5Sh7509By9UUx8r2hIyBxe,https://api.spotify.com/v1/tracks/5Sh7509By9UUx8r2hIyBxe,https://api.spotify.com/v1/audio-analysis/5Sh7509By9UUx8r2hIyBxe,149973,4,Hawaiian Chimes
32,0.571,0.784,11,-6.396,1,0.0352,0.0175,0.0,0.19,0.462,105.973,audio_features,0J3MfW6wwIBqC4zjp5AbQL,spotify:track:0J3MfW6wwIBqC4zjp5AbQL,https://api.spotify.com/v1/tracks/0J3MfW6wwIBqC4zjp5AbQL,https://api.spotify.com/v1/audio-analysis/0J3MfW6wwIBqC4zjp5AbQL,255493,4,Turn Around
33,0.545,0.31,7,-8.533,1,0.079,0.862,0.0,0.941,0.486,110.45,audio_features,2xdo9HR7L3J811cjbKzHcf,spotify:track:2xdo9HR7L3J811cjbKzHcf,https://api.spotify.com/v1/tracks/2xdo9HR7L3J811cjbKzHcf,https://api.spotify.com/v1/audio-analysis/2xdo9HR7L3J811cjbKzHcf,243360,5,L'accordéoniste
34,0.595,0.646,10,-9.308,1,0.0887,0.284,0.0,0.0433,0.944,209.695,audio_features,4sGWDW0VBuCcQnh8pC3ABK,spotify:track:4sGWDW0VBuCcQnh8pC3ABK,https://api.spotify.com/v1/tracks/4sGWDW0VBuCcQnh8pC3ABK,https://api.spotify.com/v1/audio-analysis/4sGWDW0VBuCcQnh8pC3ABK,166227,4,Tumba Tumba
35,0.606,0.393,10,-16.296,1,0.0506,0.736,0.69,0.0823,0.832,131.863,audio_features,2WdjmV6o9JeFqQIKQvF2ej,spotify:track:2WdjmV6o9JeFqQIKQvF2ej,https://api.spotify.com/v1/tracks/2WdjmV6o9JeFqQIKQvF2ej,https://api.spotify.com/v1/audio-analysis/2WdjmV6o9JeFqQIKQvF2ej,174133,4,Why don't you eat where you slept last night ?
36,0.397,0.978,7,-2.256,0,0.133,0.000718,1.47e-06,0.212,0.552,93.538,audio_features,55L9oL9HCSFY2iiiWgpXSe,spotify:track:55L9oL9HCSFY2iiiWgpXSe,https://api.spotify.com/v1/tracks/55L9oL9HCSFY2iiiWgpXSe,https://api.spotify.com/v1/audio-analysis/55L9oL9HCSFY2iiiWgpXSe,215533,4,Suffocating Under Words Of Sorrow (What Can I Do)
37,0.421,0.17,0,-18.24,1,0.0492,0.978,0.886,0.12,0.0823,121.91,audio_features,2044femx3ot7bRc9PKTICz,spotify:track:2044femx3ot7bRc9PKTICz,https://api.spotify.com/v1/tracks/2044femx3ot7bRc9PKTICz,https://api.spotify.com/v1/audio-analysis/2044femx3ot7bRc9PKTICz,181531,4,Im Moving On
38,0.49,0.433,6,-13.095,1,0.0392,0.478,0.24,0.149,0.644,113.016,audio_features,1vazfHobo3MVJPUD9eFSs5,spotify:track:1vazfHobo3MVJPUD9eFSs5,https://api.spotify.com/v1/tracks/1vazfHobo3MVJPUD9eFSs5,https://api.spotify.com/v1/audio-analysis/1vazfHobo3MVJPUD9eFSs5,341760,4,Deep Night/Softly As In A Morning Sunrise (Medley)
39,0.852,0.468,5,-13.347,0,0.115,0.00557,0.194,0.0617,0.766,125.12,audio_features,7djR81bTPRkUe94aMlltAD,spotify:track:7djR81bTPRkUe94aMlltAD,https://api.spotify.com/v1/tracks/7djR81bTPRkUe94aMlltAD,https://api.spotify.com/v1/audio-analysis/7djR81bTPRkUe94aMlltAD,280133,4,Let Me Show You [I Just Want To Make You Smile]
40,0.709,0.451,2,-12.4,1,0.0344,0.0572,0.0,0.392,0.876,110.001,audio_features,1wotQ8cxTkOMqWjMIFINGw,spotify:track:1wotQ8cxTkOMqWjMIFINGw,https://api.spotify.com/v1/tracks/1wotQ8cxTkOMqWjMIFINGw,https://api.spotify.com/v1/audio-analysis/1wotQ8cxTkOMqWjMIFINGw,168360,4,Monster For Music
41,0.42,0.426,2,-8.648,1,0.0274,0.89,0.0,0.919,0.489,85.994,audio_features,3K2XoWLWdcvI0w1YuKI9dd,spotify:track:3K2XoWLWdcvI0w1YuKI9dd,https://api.spotify.com/v1/tracks/3K2XoWLWdcvI0w1YuKI9dd,https://api.spotify.com/v1/audio-analysis/3K2XoWLWdcvI0w1YuKI9dd,213253,4,Complain
42,0.457,0.102,7,-19.435,1,0.0458,0.992,0.954,0.129,0.491,141.597,audio_features,1CYbkk5yEXPSfzbjmCutWe,spotify:track:1CYbkk5yEXPSfzbjmCutWe,https://api.spotify.com/v1/tracks/1CYbkk5yEXPSfzbjmCutWe,https://api.spotify.com/v1/audio-analysis/1CYbkk5yEXPSfzbjmCutWe,121120,4,Dansende Foran Speilet
